trophicGroup,experiment,year,region,annual_mean,annual_sd,annual_mean_u,annual_mean_l
Carni,ssp126,2042,Tropical,0.29559968990119995,0.6253890599945289,0.9209887498957288,-0.3297893700933289
Carni,ssp126,2043,Tropical,0.3033537237812997,0.614351982183833,0.9177057059651328,-0.3109982584025333
Carni,ssp126,2044,Tropical,0.31180431524695945,0.6940142471363263,1.0058185623832858,-0.38220993188936686
Carni,ssp126,2045,Tropical,0.3065734048856876,0.5431157638608757,0.8496891687465633,-0.2365423589751881
Carni,ssp126,2046,Tropical,0.24918917928869957,0.6004539030566605,0.84964308234536,-0.3512647237679609
Carni,ssp126,2047,Tropical,0.2610109111060662,0.5995803440921109,0.8605912551981771,-0.3385694329860447
Carni,ssp126,2048,Tropical,0.25919187554789364,0.7360929740729192,0.9952848496208129,-0.47690109852502555
Carni,ssp126,2049,Tropical,0.2891679247563908,0.5273488900625859,0.8165168148189768,-0.2381809653061951
Carni,ssp126,2050,Tropical,0.2698271498828305,0.48015684333191955,0.7499839932147501,-0.21032969344908903
Carni,ssp126,2051,Tropical,0.3332944315753855,0.561530993557164,0.8948254251325495,-0.22823656198177844
